,carrera,regular,cnt_readmisiones,calidad,estado_civil,sexo,sit_laboral,tipo_residencia,modalidad_cursa,distancia_sede,actividades_u12m,edad,inactividad,avance_carrera
318,PE,N,1.0,P,1.0,1,NC,-1.0,H,-1,0,20,1,0.13333333333333333
319,PC,S,0.0,A,1.0,1,NC,4.0,D,2,2,19,1,0.14285714285714285
320,PA,S,0.0,P,1.0,1,NC,-1.0,D,-1,0,18,0,0.03333333333333333
321,PC,S,1.0,A,1.0,2,NC,1.0,P,-1,2,20,2,0.10714285714285714
322,PC,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,18,0,0.07142857142857142
323,PA,N,0.0,A,1.0,1,NC,1.0,D,2,5,21,2,0.26666666666666666
324,PD,S,1.0,P,1.0,2,NC,-1.0,P,-1,0,19,1,0.1
325,PA,N,1.0,A,1.0,1,NC,-1.0,H,-1,5,19,2,0.3333333333333333
326,PC,N,1.0,A,1.0,1,NC,-1.0,H,3,5,18,0,0.35714285714285715
327,PA,N,2.0,P,1.0,1,NC,-1.0,D,3,2,20,1,0.23333333333333334
328,PC,S,0.0,P,1.0,2,NC,-1.0,H,-1,0,18,0,0.03571428571428571
329,PC,S,0.0,A,1.0,2,NC,-1.0,H,-1,7,19,1,0.39285714285714285
330,PA,N,0.0,P,1.0,1,NC,1.0,D,3,1,18,0,0.2
331,PC,N,2.0,A,1.0,1,NC,-1.0,H,-1,2,19,2,0.14285714285714285
332,PC,S,0.0,A,1.0,1,NC,-1.0,P,-1,2,18,0,0.21428571428571427
333,PA,N,2.0,P,1.0,2,NC,1.0,D,-1,0,19,1,0.13333333333333333
334,PE,N,1.0,P,1.0,1,NC,1.0,H,-1,0,18,0,0.26666666666666666
335,PC,S,2.0,P,1.0,2,NC,1.0,D,2,1,20,2,0.14285714285714285
336,PA,N,1.0,P,1.0,1,N,1.0,P,2,1,21,1,0.16666666666666666
337,PA,S,1.0,A,1.0,2,N,1.0,D,1,6,21,2,0.3333333333333333
338,PA,S,1.0,P,1.0,2,NC,1.0,D,-1,1,18,0,0.1
339,PB,S,1.0,A,1.0,2,NC,1.0,D,2,2,21,2,0.2
340,PC,S,0.0,A,1.0,1,NC,-1.0,D,-1,4,19,1,0.25
341,PD,S,0.0,P,1.0,2,NC,1.0,H,-1,1,19,1,0.125
342,PA,S,1.0,A,1.0,2,NC,-1.0,H,-1,4,18,0,0.3
343,PD,N,1.0,P,1.0,2,N,2.0,D,2,1,18,0,0.2
344,PC,S,1.0,P,1.0,2,NC,-1.0,P,-1,0,21,1,0.07142857142857142
345,PC,N,0.0,P,1.0,2,NC,-1.0,P,-1,0,18,0,0.25
346,PA,N,2.0,P,1.0,2,NC,2.0,P,-1,0,19,1,0.2
347,PB,S,1.0,A,1.0,2,NC,-1.0,H,-1,5,18,0,0.36
348,PD,S,1.0,P,1.0,2,NC,-1.0,D,3,2,21,1,0.175
349,PA,S,1.0,P,1.0,2,N,1.0,H,2,0,20,1,0.03333333333333333
350,PC,S,0.0,A,1.0,1,NC,-1.0,P,-1,6,19,1,0.42857142857142855
351,PC,S,0.0,P,1.0,2,NC,1.0,D,2,0,20,1,0.2857142857142857
352,PB,N,2.0,P,1.0,2,NC,1.0,H,2,1,21,1,0.24
353,PC,N,1.0,P,1.0,1,NC,1.0,P,3,1,18,0,0.21428571428571427
354,PA,N,1.0,P,1.0,1,NC,1.0,H,2,2,19,1,0.23333333333333334
355,PB,S,2.0,A,1.0,1,NC,-1.0,P,-1,3,19,2,0.36
356,PC,S,1.0,A,1.0,2,NC,1.0,D,1,2,20,1,0.14285714285714285
357,PA,S,1.0,P,1.0,1,NC,2.0,D,2,0,19,1,0.03333333333333333
358,PC,S,0.0,A,1.0,2,S,2.0,D,1,4,21,2,0.39285714285714285
359,PC,S,2.0,A,1.0,2,NC,2.0,D,-1,3,20,2,0.2857142857142857
360,PC,N,1.0,P,1.0,2,NC,-1.0,H,1,1,18,0,0.14285714285714285
361,PA,S,1.0,A,1.0,1,N,2.0,D,2,2,19,1,0.13333333333333333
362,PB,N,2.0,P,1.0,2,NC,-1.0,P,-1,0,21,2,0.24
363,PC,N,1.0,A,1.0,1,NC,2.0,H,1,3,19,2,0.25
364,PC,N,1.0,P,1.0,2,NC,-1.0,P,-1,0,21,2,0.0
365,PC,N,1.0,P,1.0,1,NC,-1.0,H,-1,1,18,0,0.2857142857142857
366,PA,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,21,1,0.0
367,PE,S,2.0,P,1.0,2,NC,2.0,D,2,0,19,2,0.13333333333333333
368,PA,N,1.0,P,1.0,2,N,2.0,P,3,0,21,1,0.03333333333333333
369,PA,S,2.0,P,1.0,2,NC,-1.0,D,-1,0,20,2,0.0
370,PE,S,1.0,P,1.0,1,NC,-1.0,H,-1,1,20,2,0.13333333333333333
371,PC,S,0.0,A,1.0,1,NC,-1.0,H,3,3,21,2,0.17857142857142858
372,PC,N,2.0,A,1.0,1,NC,-1.0,P,3,3,18,0,0.17857142857142858
373,PC,S,1.0,A,1.0,1,NC,-1.0,H,2,7,19,1,0.4642857142857143
374,PB,N,1.0,P,1.0,2,NC,1.0,D,1,0,19,2,0.04
375,PA,S,1.0,A,6.0,2,NC,-1.0,H,1,6,19,1,0.3
376,PB,S,1.0,P,1.0,2,NC,2.0,H,1,0,18,0,0.04
377,PC,S,2.0,P,1.0,2,NC,2.0,H,1,0,18,0,0.03571428571428571
378,PC,N,2.0,P,1.0,2,NC,2.0,P,1,2,19,1,0.2857142857142857
379,PC,S,0.0,P,1.0,2,S,1.0,D,4,1,21,1,0.25
380,PC,S,2.0,P,1.0,1,NC,-1.0,H,-1,0,18,0,0.10714285714285714
381,PA,N,1.0,P,1.0,1,NC,-1.0,P,3,1,18,0,0.23333333333333334
382,PA,S,1.0,P,1.0,2,NC,2.0,P,1,0,19,1,0.06666666666666667
383,PC,S,1.0,A,1.0,1,NC,-1.0,H,2,8,20,1,0.4642857142857143
384,PC,N,0.0,A,1.0,2,NC,4.0,H,1,4,20,1,0.21428571428571427
385,PC,N,1.0,A,1.0,2,NC,-1.0,D,-1,3,20,2,0.25
386,PA,S,1.0,A,1.0,1,NC,-1.0,D,-1,6,18,0,0.4666666666666667
387,PC,S,2.0,P,1.0,2,NC,1.0,H,1,0,20,1,0.21428571428571427
388,PC,S,2.0,A,1.0,1,NC,4.0,H,-1,2,18,0,0.14285714285714285
389,PC,N,0.0,P,1.0,2,NC,-1.0,H,-1,1,19,1,0.25
390,PA,N,2.0,P,1.0,1,NC,2.0,H,1,1,19,2,0.16666666666666666
391,PC,S,1.0,A,1.0,1,NC,2.0,H,2,4,19,1,0.25
392,PA,S,1.0,P,2.0,1,NC,-1.0,H,3,2,20,1,0.3
393,PA,S,1.0,A,1.0,2,S,2.0,P,4,3,18,0,0.26666666666666666
394,PC,S,1.0,P,1.0,1,NC,-1.0,D,-1,0,18,0,0.03571428571428571
395,PC,S,1.0,A,1.0,1,NC,-1.0,D,-1,5,21,2,0.42857142857142855
396,PA,S,1.0,A,1.0,2,NC,-1.0,D,-1,5,20,1,0.36666666666666664
397,PD,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,18,0,0.225
398,PC,N,2.0,P,1.0,2,NC,-1.0,P,-1,1,19,1,0.14285714285714285
399,PC,S,2.0,A,1.0,2,NC,-1.0,H,-1,2,20,1,0.14285714285714285
400,PB,S,0.0,A,1.0,1,NC,-1.0,H,-1,5,18,0,0.52
401,PC,N,0.0,A,1.0,1,NC,1.0,D,2,4,19,2,0.2857142857142857
402,PC,S,1.0,A,1.0,1,NC,-1.0,D,-1,7,21,1,0.39285714285714285
403,PC,S,2.0,P,2.0,2,NC,1.0,P,-1,2,21,1,0.25
404,PC,S,1.0,P,1.0,1,NC,-1.0,P,-1,1,21,2,0.2857142857142857
405,PC,S,1.0,A,1.0,2,NC,-1.0,D,-1,8,19,1,0.4642857142857143
406,PB,S,1.0,A,1.0,2,NC,-1.0,H,-1,1,21,2,0.12
407,PA,N,1.0,P,1.0,2,NC,2.0,H,-1,0,18,0,0.06666666666666667
408,PA,N,1.0,P,1.0,2,NC,1.0,D,1,1,20,1,0.2
409,PC,N,0.0,P,1.0,2,NC,-1.0,H,-1,0,21,2,0.14285714285714285
410,PA,N,1.0,A,1.0,1,NC,1.0,P,-1,5,20,1,0.26666666666666666
411,PC,S,0.0,A,1.0,2,NC,2.0,H,2,2,18,0,0.14285714285714285
412,PA,N,2.0,P,1.0,1,NC,1.0,D,-1,1,18,0,0.1
413,PA,N,1.0,A,1.0,2,NC,-1.0,P,-1,6,19,2,0.4666666666666667
414,PC,S,2.0,A,1.0,2,NC,1.0,P,2,6,21,2,0.42857142857142855
415,PA,N,1.0,A,1.0,2,NC,-1.0,H,-1,3,18,0,0.2
416,PB,S,0.0,A,1.0,2,NC,-1.0,P,-1,4,20,2,0.36
417,PA,N,1.0,P,1.0,1,NC,-1.0,H,-1,0,18,0,0.06666666666666667
418,PC,N,1.0,P,1.0,2,NC,-1.0,D,-1,0,19,1,0.03571428571428571
419,PB,S,1.0,P,1.0,2,NC,2.0,P,1,1,20,2,0.28
420,PC,N,1.0,A,1.0,2,NC,1.0,D,2,1,19,1,0.10714285714285714
421,PA,S,0.0,A,1.0,1,N,1.0,P,1,6,18,0,0.43333333333333335
422,PC,S,1.0,A,1.0,1,NC,1.0,H,2,3,21,1,0.2857142857142857
423,PC,S,2.0,A,1.0,1,N,1.0,D,1,4,19,2,0.25
424,PC,N,1.0,A,1.0,2,NC,-1.0,H,-1,5,21,1,0.4642857142857143
425,PA,N,0.0,A,1.0,1,NC,-1.0,P,3,5,19,2,0.36666666666666664
426,PB,N,2.0,A,1.0,2,N,2.0,P,3,7,21,2,0.44
427,PA,N,1.0,A,1.0,1,NC,-1.0,H,3,2,19,1,0.16666666666666666
428,PD,N,2.0,A,1.0,1,NC,-1.0,H,2,3,21,1,0.2
429,PC,S,2.0,A,1.0,1,NC,-1.0,H,-1,6,21,2,0.39285714285714285
430,PC,N,1.0,A,1.0,2,NC,-1.0,D,-1,6,21,2,0.42857142857142855
431,PA,S,1.0,A,1.0,1,NC,-1.0,P,-1,7,18,0,0.36666666666666664
432,PC,N,2.0,A,1.0,2,NC,2.0,P,2,8,20,1,0.5
433,PA,N,1.0,P,1.0,1,N,4.0,D,2,0,21,2,0.2
434,PD,S,1.0,P,2.0,2,NC,1.0,H,2,2,19,2,0.175
435,PB,N,2.0,A,1.0,1,NC,1.0,P,-1,2,21,1,0.16
436,PA,S,1.0,P,1.0,2,N,1.0,D,2,1,20,2,0.13333333333333333
437,PD,N,1.0,P,1.0,1,NC,2.0,P,-1,1,21,1,0.225
438,PC,N,1.0,A,1.0,1,NC,-1.0,D,-1,1,20,2,0.10714285714285714
439,PC,N,0.0,A,1.0,2,NC,-1.0,D,-1,2,18,0,0.17857142857142858
440,PC,N,0.0,A,1.0,2,NC,-1.0,D,-1,3,20,-2,0.21428571428571427
441,PC,N,0.0,A,1.0,2,NC,-1.0,P,-1,6,19,-1,0.32142857142857145
442,PC,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,20,1,0.07142857142857142
443,PC,S,1.0,A,1.0,2,NC,-1.0,H,-1,2,19,1,0.14285714285714285
444,PC,N,0.0,A,1.0,1,NC,-1.0,D,-1,3,20,2,0.14285714285714285
445,PC,N,2.0,P,1.0,1,NC,-1.0,H,-1,0,21,-1,0.03571428571428571
446,PC,S,0.0,A,1.0,1,NC,-1.0,H,-1,5,19,2,0.32142857142857145
447,PC,N,1.0,A,1.0,1,NC,-1.0,D,-1,4,21,1,0.42857142857142855
448,PC,N,1.0,P,1.0,1,NC,-1.0,D,-1,0,18,0,0.07142857142857142
449,PC,N,2.0,A,1.0,2,NC,-1.0,D,-1,2,19,1,0.10714285714285714
450,PC,N,0.0,A,1.0,1,NC,-1.0,P,-1,5,19,2,0.32142857142857145
451,PD,S,1.0,A,1.0,1,NC,-1.0,D,3,6,19,2,0.3
452,PC,N,0.0,A,1.0,1,NC,-1.0,P,3,5,21,1,0.4642857142857143
453,PD,S,1.0,A,1.0,2,NC,2.0,H,1,8,18,0,0.425
454,PC,N,2.0,P,1.0,1,NC,-1.0,H,-1,0,21,1,0.14285714285714285
455,PD,S,1.0,A,1.0,1,NC,-1.0,P,-1,4,21,2,0.275
456,PC,N,1.0,P,1.0,1,NC,-1.0,H,-1,2,19,2,0.2857142857142857
457,PC,N,2.0,P,1.0,2,NC,-1.0,D,-1,0,19,1,0.14285714285714285
458,PA,S,2.0,P,1.0,2,NC,1.0,D,2,0,21,2,0.0
459,PA,N,0.0,A,1.0,2,NC,-1.0,D,-1,8,19,2,0.43333333333333335
460,PC,N,0.0,P,1.0,1,NC,-1.0,D,-1,0,21,1,0.14285714285714285
461,PA,N,1.0,A,1.0,2,NC,1.0,D,-1,6,19,2,0.5
462,PC,S,2.0,P,1.0,2,NC,1.0,H,-1,1,18,0,0.2857142857142857
463,PA,N,1.0,P,1.0,2,NC,-1.0,P,3,1,21,2,0.26666666666666666
464,PB,N,2.0,A,1.0,2,NC,-1.0,P,-1,6,21,2,0.36
465,PC,N,0.0,P,1.0,2,NC,-1.0,H,-1,1,19,2,0.14285714285714285
466,PA,S,2.0,A,1.0,2,NC,-1.0,H,-1,6,20,1,0.36666666666666664
467,PC,S,0.0,A,1.0,1,NC,-1.0,H,-1,5,21,1,0.2857142857142857
468,PA,N,2.0,P,1.0,1,NC,1.0,H,-1,0,20,2,0.16666666666666666
469,PA,S,1.0,A,1.0,1,NC,-1.0,H,3,2,18,0,0.16666666666666666
470,PA,N,1.0,A,2.0,2,NC,-1.0,D,3,6,21,2,0.3333333333333333
471,PA,S,0.0,A,1.0,2,NC,-1.0,D,-1,7,19,1,0.43333333333333335
472,PA,S,2.0,P,1.0,2,NC,1.0,P,-1,0,21,1,0.3
473,PC,S,2.0,A,1.0,2,NC,1.0,D,-1,5,19,1,0.4642857142857143
474,PB,N,1.0,P,1.0,1,NC,1.0,D,2,0,19,1,0.0
475,PA,N,1.0,A,1.0,2,NC,-1.0,H,3,3,21,1,0.16666666666666666
476,PA,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,18,0,0.0
477,PC,S,0.0,A,1.0,1,NC,-1.0,P,-1,1,18,0,0.10714285714285714
478,PA,S,2.0,A,1.0,1,NC,-1.0,P,-1,5,18,0,0.26666666666666666
479,PA,S,2.0,A,1.0,1,NC,-1.0,D,-1,5,20,1,0.43333333333333335
480,PC,S,1.0,P,1.0,2,NC,-1.0,H,-1,0,20,1,0.0
481,PB,S,1.0,P,1.0,2,NC,-1.0,D,1,0,19,1,0.08
482,PB,S,0.0,A,1.0,2,NC,-1.0,P,3,3,20,2,0.32
483,PA,S,1.0,A,1.0,2,N,1.0,H,2,2,20,2,0.13333333333333333
484,PA,N,0.0,P,1.0,2,NC,2.0,H,-1,1,19,2,0.16666666666666666
485,PC,S,1.0,A,1.0,2,NC,-1.0,P,3,4,21,1,0.32142857142857145
486,PB,N,0.0,P,1.0,1,NC,1.0,H,3,0,20,1,0.08
487,PC,S,1.0,P,1.0,1,N,2.0,H,3,0,21,1,0.17857142857142858
488,PA,S,0.0,A,1.0,1,NC,-1.0,D,-1,6,20,1,0.43333333333333335
489,PE,N,2.0,A,1.0,1,NC,-1.0,P,3,2,18,0,0.2
490,PB,S,1.0,A,1.0,1,NC,-1.0,H,-1,6,21,1,0.4
491,PA,N,1.0,P,1.0,2,NC,-1.0,D,1,0,21,1,0.06666666666666667
492,PC,S,0.0,P,2.0,2,NC,-1.0,D,-1,0,18,0,0.0
493,PB,S,0.0,P,1.0,2,NC,-1.0,D,-1,0,21,1,0.16
494,PA,N,2.0,A,1.0,2,NC,-1.0,D,3,2,20,2,0.16666666666666666
495,PA,S,1.0,A,1.0,2,NC,-1.0,P,3,2,21,1,0.13333333333333333
496,PB,N,1.0,P,1.0,2,NC,-1.0,D,-1,1,20,1,0.16
497,PC,N,2.0,P,1.0,1,NC,-1.0,H,-1,1,19,1,0.2857142857142857
498,PB,N,1.0,P,1.0,1,NC,3.0,D,1,1,20,1,0.28
499,PA,S,1.0,P,1.0,1,S,1.0,D,4,0,21,2,0.06666666666666667
500,PA,S,1.0,P,1.0,2,NC,-1.0,D,-1,2,20,2,0.26666666666666666
501,PA,S,1.0,P,1.0,2,NC,2.0,P,-1,1,20,1,0.16666666666666666
502,PD,S,2.0,A,1.0,1,NC,-1.0,P,-1,7,19,2,0.275
503,PC,S,2.0,A,1.0,2,NC,-1.0,H,1,5,18,0,0.32142857142857145
504,PB,N,1.0,P,1.0,1,N,1.0,D,1,1,20,2,0.16
505,PC,N,1.0,A,1.0,2,NC,-1.0,H,-1,5,20,2,0.35714285714285715
506,PC,S,1.0,P,1.0,1,NC,-1.0,H,-1,0,20,2,0.03571428571428571
507,PB,S,1.0,P,1.0,1,NC,-1.0,D,-1,0,19,1,0.12
508,PC,S,1.0,A,1.0,1,NC,-1.0,P,-1,3,19,1,0.25
509,PC,N,1.0,P,1.0,1,NC,-1.0,D,-1,2,18,0,0.2857142857142857
510,PC,N,2.0,P,1.0,1,NC,-1.0,H,-1,0,18,0,0.0
511,PC,S,0.0,P,1.0,1,NC,1.0,D,1,1,18,0,0.21428571428571427
512,PB,N,1.0,P,1.0,1,NC,1.0,D,1,0,20,2,0.04
513,PB,S,0.0,A,1.0,2,NC,-1.0,D,-1,8,20,1,0.48
514,PA,S,1.0,P,1.0,2,NC,2.0,D,-1,0,18,0,0.06666666666666667
515,PC,N,0.0,P,1.0,1,NC,-1.0,H,-1,1,21,2,0.17857142857142858
516,PC,S,2.0,A,1.0,1,NC,-1.0,D,-1,3,19,2,0.2857142857142857
517,PA,S,2.0,A,1.0,2,NC,2.0,D,2,2,18,0,0.13333333333333333
518,PC,S,1.0,A,1.0,2,NC,1.0,P,2,5,19,1,0.2857142857142857
519,PA,N,1.0,P,1.0,2,NC,-1.0,D,-1,1,21,1,0.16666666666666666
520,PA,S,2.0,P,1.0,1,S,2.0,D,-1,0,20,2,0.1
521,PC,N,0.0,A,1.0,1,NC,-1.0,P,-1,3,19,1,0.32142857142857145
522,PC,S,1.0,A,1.0,2,NC,-1.0,P,-1,6,18,0,0.39285714285714285
523,PA,N,2.0,P,1.0,2,NC,1.0,H,-1,2,20,1,0.26666666666666666
524,PD,S,1.0,A,1.0,1,NC,-1.0,P,-1,7,20,2,0.45
525,PC,S,1.0,P,1.0,1,NC,-1.0,P,-1,0,21,2,0.03571428571428571
526,PA,S,0.0,A,1.0,1,NC,-1.0,P,-1,6,21,2,0.4
527,PA,S,2.0,P,1.0,2,NC,-1.0,P,-1,1,20,1,0.2
528,PB,S,0.0,A,1.0,2,NC,-1.0,P,-1,5,19,1,0.4
529,PC,N,1.0,P,1.0,2,NC,-1.0,H,3,1,21,1,0.21428571428571427
530,PC,S,1.0,A,1.0,2,NC,-1.0,D,-1,5,19,2,0.4642857142857143
531,PC,S,1.0,A,1.0,2,NC,-1.0,P,-1,2,18,0,0.17857142857142858
532,PA,S,2.0,P,1.0,2,NC,2.0,P,-1,1,21,2,0.2
533,PC,N,2.0,P,1.0,1,NC,-1.0,P,-1,0,20,1,0.03571428571428571
534,PB,S,0.0,P,1.0,2,NC,-1.0,P,-1,1,19,1,0.16
535,PA,N,1.0,A,1.0,1,NC,-1.0,H,-1,6,21,1,0.43333333333333335
536,PC,S,2.0,A,1.0,1,NC,1.0,P,2,4,18,0,0.21428571428571427
537,PA,S,1.0,P,1.0,2,S,3.0,P,1,0,20,1,0.06666666666666667
538,PC,S,2.0,A,1.0,2,NC,-1.0,P,-1,8,20,1,0.4642857142857143
539,PA,S,1.0,P,1.0,1,N,1.0,D,2,1,21,1,0.26666666666666666
540,PC,S,2.0,A,1.0,1,NC,-1.0,D,-1,1,18,0,0.10714285714285714
541,PA,S,0.0,A,1.0,2,NC,1.0,D,-1,9,20,2,0.5
542,PA,N,1.0,A,1.0,2,NC,-1.0,D,1,5,18,0,0.26666666666666666
543,PA,N,1.0,A,1.0,1,NC,-1.0,H,-1,6,19,2,0.4666666666666667
544,PA,N,1.0,A,1.0,1,NC,-1.0,D,3,4,20,2,0.36666666666666664
545,PB,N,1.0,P,1.0,2,NC,-1.0,H,-1,0,19,1,0.04
546,PC,S,2.0,A,1.0,1,NC,-1.0,P,-1,4,21,2,0.2857142857142857
547,PC,S,0.0,A,1.0,1,NC,3.0,D,1,5,21,1,0.2857142857142857
548,PC,N,0.0,A,1.0,2,NC,-1.0,H,2,3,20,2,0.17857142857142858
549,PC,S,1.0,P,1.0,1,NC,-1.0,H,-1,0,19,1,0.10714285714285714
550,PC,N,2.0,A,1.0,1,NC,1.0,P,2,2,19,2,0.21428571428571427
551,PC,S,0.0,A,1.0,2,NC,-1.0,D,-1,7,21,1,0.4642857142857143
552,PB,S,1.0,A,1.0,1,NC,-1.0,D,-1,6,18,0,0.4
553,PA,S,1.0,A,1.0,1,NC,-1.0,D,3,2,18,0,0.16666666666666666
554,PA,N,2.0,P,1.0,2,NC,-1.0,D,-1,0,21,2,0.1
555,PC,S,0.0,A,1.0,2,NC,2.0,H,-1,3,18,0,0.21428571428571427
556,PC,N,0.0,A,2.0,1,NC,-1.0,P,-1,7,21,1,0.39285714285714285
557,PA,S,2.0,P,1.0,2,NC,-1.0,D,-1,1,21,2,0.26666666666666666
558,PA,S,1.0,A,1.0,2,S,1.0,D,3,5,20,2,0.36666666666666664
559,PC,N,1.0,P,1.0,1,NC,-1.0,D,-1,1,19,1,0.25
560,PC,N,0.0,P,1.0,2,N,2.0,D,1,0,21,2,0.10714285714285714
561,PC,N,0.0,P,1.0,1,NC,-1.0,P,-1,1,21,2,0.2857142857142857
562,PB,S,1.0,P,2.0,2,NC,1.0,H,2,1,20,2,0.28
563,PA,N,1.0,A,1.0,2,NC,-1.0,H,-1,3,18,0,0.26666666666666666
564,PA,N,0.0,P,1.0,2,NC,1.0,P,1,0,19,1,0.16666666666666666
565,PC,S,2.0,A,1.0,1,NC,-1.0,H,-1,5,18,0,0.35714285714285715
566,PD,N,0.0,P,1.0,1,NC,-1.0,H,1,0,18,0,0.05
567,PA,S,2.0,P,1.0,1,N,2.0,D,2,1,18,0,0.13333333333333333
568,PB,S,2.0,P,1.0,2,NC,-1.0,P,-1,0,19,2,0.24
569,PA,N,1.0,P,1.0,1,N,1.0,D,1,0,20,1,0.0
570,PA,N,1.0,P,1.0,1,N,1.0,H,3,0,20,2,0.0
571,PB,S,0.0,A,1.0,1,NC,-1.0,H,-1,4,18,0,0.36
572,PA,S,2.0,A,1.0,2,NC,1.0,H,3,2,20,2,0.16666666666666666
573,PC,N,0.0,A,1.0,2,NC,-1.0,D,-1,2,19,1,0.14285714285714285
574,PC,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,18,0,0.07142857142857142
575,PC,N,2.0,A,1.0,2,NC,-1.0,D,-1,6,18,0,0.32142857142857145
576,PC,S,1.0,P,1.0,1,NC,-1.0,D,-1,0,18,0,0.03571428571428571
577,PB,S,1.0,P,1.0,2,NC,-1.0,D,1,0,19,2,0.0
578,PC,N,1.0,P,1.0,1,N,1.0,H,-1,0,19,1,0.07142857142857142
579,PC,N,0.0,P,1.0,1,NC,-1.0,P,-1,1,18,0,0.21428571428571427
580,PD,S,1.0,A,1.0,1,NC,2.0,D,-1,6,18,0,0.325
581,PA,N,2.0,P,1.0,2,NC,-1.0,D,-1,1,18,0,0.13333333333333333
582,PA,N,2.0,P,1.0,2,NC,-1.0,H,3,0,20,1,0.16666666666666666
583,PB,S,1.0,P,1.0,1,S,1.0,D,4,0,18,0,0.08
584,PA,N,1.0,P,1.0,2,NC,-1.0,P,2,1,18,0,0.1
585,PA,N,0.0,P,1.0,2,NC,-1.0,H,-1,1,20,1,0.26666666666666666
586,PA,N,1.0,P,1.0,2,NC,-1.0,D,-1,0,20,2,0.03333333333333333
587,PE,S,1.0,A,1.0,2,NC,-1.0,P,2,1,21,1,0.26666666666666666
588,PB,S,1.0,P,1.0,1,NC,2.0,H,3,0,20,2,0.16
589,PC,N,1.0,A,1.0,1,NC,-1.0,D,-1,1,19,2,0.14285714285714285
590,PA,N,1.0,A,1.0,2,NC,-1.0,D,-1,2,20,2,0.2
591,PA,S,2.0,P,1.0,1,NC,2.0,D,-1,1,19,2,0.16666666666666666
592,PA,N,1.0,P,1.0,2,NC,-1.0,P,3,1,20,1,0.3
593,PC,S,1.0,A,1.0,2,NC,-1.0,H,-1,2,20,2,0.10714285714285714
594,PA,N,0.0,P,1.0,2,NC,1.0,H,2,0,21,1,0.06666666666666667
595,PA,S,1.0,P,1.0,1,N,1.0,P,3,2,19,1,0.26666666666666666
596,PA,S,1.0,A,1.0,2,NC,-1.0,P,-1,3,20,2,0.16666666666666666
597,PC,S,1.0,A,1.0,1,NC,-1.0,D,-1,6,20,1,0.4642857142857143
598,PC,S,1.0,A,1.0,2,NC,2.0,D,-1,1,18,0,0.10714285714285714
599,PA,N,1.0,P,1.0,2,NC,-1.0,P,-1,0,18,0,0.06666666666666667
600,PC,N,1.0,A,2.0,1,NC,1.0,H,4,6,21,2,0.39285714285714285
601,PA,S,1.0,A,1.0,2,NC,-1.0,D,3,2,21,1,0.1
602,PB,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,21,2,0.2
603,PC,S,1.0,A,1.0,1,NC,-1.0,H,3,3,19,1,0.21428571428571427
604,PA,S,0.0,A,1.0,1,NC,-1.0,D,-1,9,21,1,0.5
605,PB,N,0.0,P,1.0,1,NC,2.0,D,1,0,18,0,0.12
606,PC,S,2.0,A,2.0,2,NC,-1.0,P,-1,4,20,1,0.21428571428571427
607,PA,N,1.0,A,1.0,2,NC,-1.0,P,1,5,19,1,0.26666666666666666
608,PE,S,1.0,A,1.0,2,NC,-1.0,D,-1,3,21,2,0.4
609,PA,N,0.0,P,1.0,2,NC,-1.0,H,-1,1,21,1,0.2
610,PA,S,1.0,A,1.0,2,NC,1.0,D,-1,4,20,2,0.26666666666666666
611,PC,N,0.0,P,1.0,1,NC,-1.0,D,-1,0,19,2,0.14285714285714285
612,PA,N,0.0,P,1.0,2,N,4.0,H,2,1,18,0,0.2
613,PC,N,2.0,P,1.0,1,NC,-1.0,H,-1,1,18,0,0.10714285714285714
614,PC,N,2.0,P,1.0,2,NC,-1.0,H,-1,0,21,1,0.07142857142857142
615,PC,S,0.0,P,1.0,2,NC,-1.0,D,-1,0,20,2,0.03571428571428571
616,PB,N,1.0,A,1.0,1,NC,-1.0,P,-1,4,19,1,0.24
617,PB,N,2.0,P,1.0,2,NC,-1.0,P,1,1,20,2,0.24
618,PC,S,2.0,P,1.0,1,NC,-1.0,H,-1,1,20,2,0.17857142857142858
619,PA,N,1.0,A,1.0,1,NC,-1.0,H,-1,2,21,2,0.1
620,PC,N,2.0,P,1.0,1,NC,1.0,P,2,0,18,0,0.25
621,PC,S,1.0,P,1.0,1,NC,2.0,D,-1,0,19,1,0.07142857142857142
622,PD,N,0.0,A,1.0,1,NC,3.0,H,-1,4,18,0,0.15
623,PA,S,0.0,A,1.0,2,NC,-1.0,H,-1,4,18,0,0.3
624,PB,S,1.0,A,1.0,1,NC,-1.0,D,-1,4,18,0,0.4
625,PD,N,0.0,P,1.0,2,NC,1.0,H,1,1,21,1,0.2
626,PA,N,2.0,A,1.0,2,S,1.0,D,4,2,18,0,0.2
627,PB,N,0.0,P,1.0,2,NC,1.0,P,2,0,18,0,0.04
628,PA,S,1.0,A,1.0,1,NC,-1.0,D,-1,2,20,2,0.13333333333333333
629,PA,S,2.0,A,1.0,1,NC,1.0,D,3,5,21,1,0.4
630,PA,S,1.0,A,1.0,2,N,1.0,P,2,3,19,1,0.26666666666666666
631,PB,S,0.0,A,1.0,2,NC,-1.0,P,-1,4,19,1,0.24
